Bölge,Bölge_encoded
Ergene - Marmaracık Mahallesi,2139000
Kapaklı - Atatürk Mahallesi,2336542
Kapaklı - Bahçelievler Mahallesi,2259222
Kapaklı - Cumhuriyet Mahallesi,2367723
Kapaklı - İnönü Mahallesi,3011842
Kapaklı - İsmet Paşa Mahallesi,2710000
Süleymanpaşa - 100. Yıl Mahallesi,3522173
Süleymanpaşa - Altınova Mahallesi,2904693
Süleymanpaşa - Atatürk Mahallesi,4720000
Süleymanpaşa - Aydoğdu Mahallesi,2012727
Süleymanpaşa - Cumhuriyet Mahallesi,3444000
Süleymanpaşa - Ertuğrul Mahallesi,2765500
Süleymanpaşa - Hürriyet Mahallesi,3503611
Süleymanpaşa - Karadeniz Mahallesi,1903000
Süleymanpaşa - Kumbağ Mahallesi,2474195
Süleymanpaşa - Ortacami Mahallesi,3258217
Süleymanpaşa - Yavuz Mahallesi,2039400
Süleymanpaşa - Zafer Mahallesi,2913125
Süleymanpaşa - Çiftlikönü Mahallesi,2964818
Süleymanpaşa - Çınarlı Mahallesi,3085733
Çerkezköy - Bağlık Mahallesi,2472550
Çerkezköy - Cumhuriyet Mahallesi,3245625
Çerkezköy - Fatih Mahallesi,2682628
Çerkezköy - Fevzi Paşa Mahallesi,3056971
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,2941888
Çerkezköy - Gazi Osman Paşa Mahallesi,2903545
Çerkezköy - Kızılpınar Atatürk Mahallesi,2269521
Çerkezköy - Kızılpınar Gültepe Mahallesi,2238514
Çerkezköy - Kızılpınar Namık Kemal Mahallesi,2189134
Çerkezköy - Veliköy Mahallesi,2446166
Çerkezköy - Yıldırım Beyazıt Mahallesi,2681764
Çerkezköy - İstasyon Mahallesi,2775272
Çorlu - Alipaşa Mahallesi,3784230
Çorlu - Cemaliye Mahallesi,1708750
Çorlu - Cumhuriyet Mahallesi,3356000
Çorlu - Hatip Mahallesi,2983225
Çorlu - Havuzlar Mahallesi,2428181
Çorlu - Hürriyet Mahallesi,3409166
Çorlu - Hıdırağa Mahallesi,1743125
Çorlu - Kazımiye Mahallesi,2839277
Çorlu - Kemalettin Mahallesi,1920769
Çorlu - Muhittin Mahallesi,2831500
Çorlu - Nusratiye Mahallesi,2691621
Çorlu - Reşadiye Mahallesi,2354878
Çorlu - Rumeli Mahallesi,2918148
Çorlu - Zafer Mahallesi,3354545
Çorlu - Çobançeşme Mahallesi,3069838
Çorlu - Şeyh Sinan Mahallesi,2424122
Şarköy - Cumhuriyet Mahallesi,2855555
Şarköy - İstiklal Mahallesi,2787692
